
Files already downloaded and verified
Epoch [165/500], Train Loss: 0.7672, Test Loss: 1.3854, Test Accuracy: 54.51%
Epoch [166/500], Train Loss: 0.7870, Test Loss: 1.5968, Test Accuracy: 50.07%
Epoch [167/500], Train Loss: 0.7651, Test Loss: 1.3661, Test Accuracy: 54.72%
Epoch [168/500], Train Loss: 0.7914, Test Loss: 1.3150, Test Accuracy: 54.85%
Epoch [169/500], Train Loss: 0.7792, Test Loss: 1.4004, Test Accuracy: 53.67%
Epoch [170/500], Train Loss: 0.7707, Test Loss: 1.2688, Test Accuracy: 58.13%
Epoch [171/500], Train Loss: 0.7759, Test Loss: 1.6777, Test Accuracy: 45.69%
Epoch [172/500], Train Loss: 0.7663, Test Loss: 1.2266, Test Accuracy: 58.81%
Epoch [173/500], Train Loss: 0.7406, Test Loss: 1.0704, Test Accuracy: 63.96%
Epoch [174/500], Train Loss: 0.7327, Test Loss: 1.7550, Test Accuracy: 46.33%
Epoch [175/500], Train Loss: 0.7663, Test Loss: 1.7136, Test Accuracy: 49.37%
Epoch [176/500], Train Loss: 0.7624, Test Loss: 1.3519, Test Accuracy: 52.78%
Epoch [177/500], Train Loss: 0.7248, Test Loss: 1.6248, Test Accuracy: 50.76%
Epoch [178/500], Train Loss: 0.7787, Test Loss: 2.0132, Test Accuracy: 44.23%
Epoch [179/500], Train Loss: 0.7388, Test Loss: 1.9430, Test Accuracy: 44.71%
Epoch [180/500], Train Loss: 0.7122, Test Loss: 1.2778, Test Accuracy: 58.42%
Epoch [181/500], Train Loss: 0.7240, Test Loss: 1.4296, Test Accuracy: 53.77%
Epoch [182/500], Train Loss: 0.7074, Test Loss: 1.1725, Test Accuracy: 59.67%
Epoch [183/500], Train Loss: 0.7217, Test Loss: 1.5343, Test Accuracy: 55.51%
Epoch [184/500], Train Loss: 0.7438, Test Loss: 1.5542, Test Accuracy: 54.72%
Epoch [185/500], Train Loss: 0.7034, Test Loss: 1.4863, Test Accuracy: 53.20%
Epoch [186/500], Train Loss: 0.6970, Test Loss: 1.7230, Test Accuracy: 53.89%
Epoch [187/500], Train Loss: 0.6942, Test Loss: 1.3261, Test Accuracy: 55.27%
Epoch [188/500], Train Loss: 0.6756, Test Loss: 1.5584, Test Accuracy: 51.15%
Epoch [189/500], Train Loss: 0.7134, Test Loss: 1.8581, Test Accuracy: 46.66%
Epoch [190/500], Train Loss: 0.7094, Test Loss: 1.2851, Test Accuracy: 57.38%
Epoch [191/500], Train Loss: 0.6916, Test Loss: 1.4127, Test Accuracy: 59.31%
Epoch [192/500], Train Loss: 0.6976, Test Loss: 1.7166, Test Accuracy: 49.92%
Epoch [193/500], Train Loss: 0.6917, Test Loss: 1.3841, Test Accuracy: 53.76%
Epoch [194/500], Train Loss: 0.6601, Test Loss: 1.1941, Test Accuracy: 57.01%
Epoch [195/500], Train Loss: 0.6622, Test Loss: 1.0676, Test Accuracy: 62.66%
Epoch [196/500], Train Loss: 0.6898, Test Loss: 1.3224, Test Accuracy: 57.90%
Epoch [197/500], Train Loss: 0.6515, Test Loss: 1.3162, Test Accuracy: 57.98%
Epoch [198/500], Train Loss: 0.6608, Test Loss: 1.4627, Test Accuracy: 51.83%
Epoch [199/500], Train Loss: 0.6478, Test Loss: 1.2108, Test Accuracy: 59.91%
Epoch [200/500], Train Loss: 0.6469, Test Loss: 1.7040, Test Accuracy: 53.92%
Epoch [201/500], Train Loss: 0.6642, Test Loss: 1.5337, Test Accuracy: 53.43%
Epoch [202/500], Train Loss: 0.6744, Test Loss: 1.6144, Test Accuracy: 53.82%
Epoch [203/500], Train Loss: 0.6472, Test Loss: 1.3710, Test Accuracy: 55.40%
Epoch [204/500], Train Loss: 0.6469, Test Loss: 1.5275, Test Accuracy: 53.76%
Epoch [205/500], Train Loss: 0.6274, Test Loss: 1.5357, Test Accuracy: 56.18%
Epoch [206/500], Train Loss: 0.6282, Test Loss: 1.1771, Test Accuracy: 61.38%
Epoch [207/500], Train Loss: 0.6339, Test Loss: 1.6410, Test Accuracy: 50.96%
Epoch [208/500], Train Loss: 0.6155, Test Loss: 1.5421, Test Accuracy: 56.69%
Epoch [209/500], Train Loss: 0.6496, Test Loss: 1.9164, Test Accuracy: 51.57%
Epoch [210/500], Train Loss: 0.6607, Test Loss: 1.3804, Test Accuracy: 54.77%
Epoch [211/500], Train Loss: 0.6320, Test Loss: 1.5145, Test Accuracy: 54.44%
Epoch [212/500], Train Loss: 0.6370, Test Loss: 1.3709, Test Accuracy: 56.01%
Epoch [213/500], Train Loss: 0.5716, Test Loss: 1.1200, Test Accuracy: 64.46%
Epoch [214/500], Train Loss: 0.6017, Test Loss: 1.4081, Test Accuracy: 54.17%
Epoch [215/500], Train Loss: 0.5887, Test Loss: 1.1204, Test Accuracy: 61.64%
